"","time","long","lat","id","xdata","ydata","utm.zone"
"1.1770",19777920,-115.573666699474,30.980832800064,269,636200.312500013,3428350.49999992,"11N"
"1.1771",19780560,-115.578333362928,31.0463335768654,269,635661.812500012,3435604.99999992,"11N"
"1.1772",19780740,-115.582833092057,31.041833812063,269,635238.750000011,3435100.74999992,"11N"
"1.1773",19781820,-115.479499744675,31.0410002031768,269,645102.062500019,3435138.74999991,"11N"
"1.1774",19781880,-115.579500062027,31.043666937944,269,635554.250000013,3435307.99999992,"11N"
"1.1775",19786200,-115.690666794945,31.1990010854821,269,624741.625000008,3452394.99999993,"11N"
"1.1776",19786260,-115.807333132311,31.5578337874651,269,613194.750000004,3492043.24999993,"11N"
"1.1777",19786320,-115.574500144316,31.5506659395983,269,635304.937500011,3491512.99999991,"11N"
"1.1778",19786380,-115.436166962551,31.1539998859703,269,649061.187500021,3447721.74999989,"11N"
"1.1779",19786440,-115.288833005175,31.0788334334725,269,663235.250000035,3439597.24999986,"11N"
"1.1780",19786500,-115.336666854387,31.0423343663376,269,658732.187500029,3435481.99999987,"11N"
"1.1781",19786560,-115.472499760498,31.0368329597586,269,645776.500000019,3434685.9999999,"11N"
"1.1782",19786620,-115.471500115945,31.0383322489837,269,645869.625000019,3434853.4999999,"11N"
"1.1783",19786680,-115.470666586397,31.037999847388,269,645949.687500019,3434817.7499999,"11N"
"1.1784",19786740,-115.470666586397,31.037999847388,269,645949.687500019,3434817.7499999,"11N"
"1.1785",19786800,-115.472833369543,31.0381676037925,269,645742.62500002,3434833.4999999,"11N"
"1.1786",19786860,-115.472666518582,31.037667182054,269,645759.312500018,3434778.2499999,"11N"
"1.1787",19787400,-115.472500187011,31.0376674683807,269,645775.187500018,3434778.4999999,"11N"
"1.1788",19787460,-115.472500187011,31.0376674683807,269,645775.187500018,3434778.4999999,"11N"
"1.1789",19787520,-115.471833587425,31.0376663410454,269,645838.812500018,3434779.2499999,"11N"
"1.1790",19787580,-115.470500205163,31.0381670311544,269,645965.31250002,3434836.4999999,"11N"
"1.1791",19787640,-115.470999965772,31.037667741887,269,645918.375000019,3434780.4999999,"11N"
"1.1792",19787700,-115.470833573154,31.0379995712046,269,645933.750000018,3434817.4999999,"11N"
"1.1793",19789020,-115.566499736675,31.0246674867503,269,636822.125000012,3433217.99999992,"11N"
"1.1794",19789080,-115.595333385622,31.0298338085831,269,634062.562500012,3433755.49999992,"11N"
"1.1795",19790520,-115.579166885813,31.0438324288606,269,635585.812500013,3435326.74999992,"11N"
"1.1796",19790700,-115.570499753262,31.0289994945419,269,636434.125000014,3433693.24999992,"11N"
